symbol,price,ma200,rsi,volume_ratio,avg_dollar_volume,score,smart_money_score,type,scan_time
ICHR,65.76,32.57,49.71,0.63,73824815.0,70,40,기술 조건 후보,2026-05-21 00:20:56
MD,22.47,20.08,49.75,0.63,20688352.0,70,40,기술 조건 후보,2026-05-21 00:21:16
PBF,41.75,33.95,45.89,0.62,133084110.0,70,40,기술 조건 후보,2026-05-21 00:18:59
NPO,305.45,241.66,57.3,0.62,76731609.0,70,40,기술 조건 후보,2026-05-21 00:19:40
RNG,43.51,32.08,57.29,0.6,89309045.0,70,40,기술 조건 후보,2026-05-21 00:18:56
LLYVA,95.92,88.4,62.49,0.6,22985616.0,70,40,기술 조건 후보,2026-05-21 00:19:38
MRNA,48.12,36.85,54.73,0.59,386572945.0,70,40,기술 조건 후보,2026-05-21 00:21:32
HOG,23.85,23.31,49.81,0.57,73980088.0,70,40,기술 조건 후보,2026-05-21 00:19:33
KIM,23.81,21.52,52.94,0.56,104504617.0,70,40,기술 조건 후보,2026-05-21 00:19:33
MSGS,353.15,263.56,60.4,0.56,89769616.0,70,40,기술 조건 후보,2026-05-21 00:21:35
LWLG,11.69,5.7,44.31,0.55,114684899.0,70,40,기술 조건 후보,2026-05-21 00:21:13
NBR,106.55,61.4,55.77,0.55,36120195.0,70,40,기술 조건 후보,2026-05-21 00:21:43
NSA,42.56,32.61,50.0,0.55,42615023.0,70,40,기술 조건 후보,2026-05-21 00:21:51
KAI,309.17,308.01,57.35,0.53,61938147.0,70,40,기술 조건 후보,2026-05-21 00:19:38
MPLX,55.44,51.83,51.65,0.49,141383024.0,70,40,기술 조건 후보,2026-05-21 00:20:25
NOV,21.15,16.42,57.26,0.46,107084343.0,70,40,기술 조건 후보,2026-05-21 00:18:55
NEAR,50.66,50.22,51.22,0.46,38159184.0,70,40,기술 조건 후보,2026-05-21 00:21:44
JNJ,229.32,208.84,49.08,0.45,1714933133.0,70,40,기술 조건 후보,2026-05-21 00:18:54
MIRM,96.95,83.06,49.63,0.43,121338617.0,70,40,기술 조건 후보,2026-05-21 00:21:24
IRM,125.81,98.9,49.66,0.39,218725222.0,70,40,기술 조건 후보,2026-05-21 00:20:20
CUE,20.43,16.85,57.11,0.09,28522414.0,70,40,기술 조건 후보,2026-05-21 00:20:13
IOO,141.53,124.63,69.57,1.71,30812779.0,70,20,기술 조건 후보,2026-05-21 00:20:19
NVST,23.77,23.15,34.65,1.31,94829470.0,70,20,기술 조건 후보,2026-05-21 00:20:02
HLIO,79.16,60.41,69.39,1.24,27801777.0,70,20,기술 조건 후보,2026-05-21 00:20:54
PEP,149.29,148.83,28.1,1.23,897196284.0,70,20,기술 조건 후보,2026-05-21 00:19:33
IWY,292.97,270.25,74.6,1.22,121689470.0,70,20,기술 조건 후보,2026-05-21 00:21:04
IGM,154.63,128.49,71.22,1.21,92540414.0,70,20,기술 조건 후보,2026-05-21 00:20:57
MEOH,60.54,45.02,35.75,1.21,53258758.0,70,20,기술 조건 후보,2026-05-21 00:21:21
